id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
17663,1,40,0,0,1,0,1,0,50,NA,NA,NA,NA,0,0
47932,1,38,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
53039,1,47,0,0,0,1,0,1,33,NA,NA,NA,NA,0,0
18151,0,45,1,0,0,1,0,1,75,NA,NA,NA,NA,0,0
42348,0,53,1,0,1,0,0,1,35,NA,NA,NA,NA,0,0
19017,1,62,1,0,0,1,0,0,50,50,50,50,3,1,1
36404,1,66,1,0,0,1,1,0,71,NA,NA,NA,NA,0,0
63456,1,26,0,0,0,1,1,0,100,NA,NA,NA,NA,0,0
12949,0,59,1,0,1,0,0,1,50,50,71,70,2,1,1
61886,1,71,1,0,1,0,0,1,0,NA,NA,NA,NA,0,0
57616,0,82,1,0,0,1,0,1,77,NA,NA,NA,NA,0,0
55970,1,53,1,0,1,0,1,0,99,100,100,100,3,1,1
60847,1,30,0,0,1,0,1,0,100,100,53,100,3,1,1
43216,0,48,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0
53038,0,26,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
14316,1,37,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0
64914,1,37,0,0,1,0,1,0,8,NA,NA,NA,NA,0,0
22040,1,42,1,0,1,0,0,1,13,NA,NA,NA,NA,0,0
7872,1,51,1,0,1,0,0,0,57,90,84,95,3,1,1
19473,1,49,0,0,1,0,0,0,50,50,50,50,0,1,1
54980,1,49,1,0,1,0,0,0,17,50,50,50,-3,1,1
66882,1,19,0,0,1,0,0,0,0,16,9,50,-2,1,1
54772,0,42,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
20028,1,32,1,0,1,0,0,1,0,NA,NA,NA,NA,0,0
37782,1,59,1,0,1,0,0,1,0,0,NA,NA,NA,1,0
60225,1,65,0,0,1,0,0,1,7,NA,NA,NA,NA,0,0
40890,1,31,1,0,1,0,0,0,90,NA,NA,NA,NA,0,0
24474,1,18,0,0,1,0,0,0,50,100,100,100,3,1,1
32347,1,49,0,0,1,0,0,0,50,60,85,50,0,1,1
62276,1,40,1,0,1,0,0,0,47,50,50,50,0,1,1
12624,1,54,1,0,1,0,0,0,50,50,0,50,-1,1,1
13375,1,24,1,0,1,0,0,1,69,NA,NA,NA,NA,0,0
11479,1,42,1,0,1,0,0,1,38,NA,NA,NA,NA,0,0
8727,1,72,0,0,0,1,0,1,50,50,53,11,0,1,1
16824,0,40,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
6999,1,80,0,0,0,1,1,0,50,50,14,50,0,1,1
59200,1,50,0,0,0,1,1,0,0,12,0,0,-2,1,1
